test_set,instance,l2_bound,l1_bound,total_size,n_items,java_l2_verified,verification
testdual0,binpack0.txt,2509,2499,249881,5000,2509,OK
testdual0,binpack1.txt,2536,2502,250171,5000,2536,OK
testdual0,binpack2.txt,2507,2495,249487,5000,2507,OK
testdual0,binpack3.txt,2529,2501,250085,5000,2529,OK
testdual0,binpack4.txt,2578,2506,250559,5000,2578,OK
testdual0,binpack5.txt,2549,2507,250669,5000,2549,OK
testdual0,binpack6.txt,2503,2500,249950,5000,2503,OK
testdual0,binpack7.txt,2517,2502,250154,5000,2517,OK
testdual0,binpack8.txt,2520,2502,250157,5000,2520,OK
testdual0,binpack9.txt,2524,2500,249905,5000,2524,OK
testdual0,binpack10.txt,2502,2493,249275,5000,2502,OK
testdual0,binpack11.txt,2502,2499,249851,5000,2502,OK
testdual0,binpack12.txt,2507,2498,249782,5000,2507,OK
testdual0,binpack13.txt,2561,2507,250671,5000,2561,OK
testdual0,binpack14.txt,2525,2500,249955,5000,2525,OK
testdual0,binpack15.txt,2520,2501,250039,5000,2520,OK
testdual0,binpack16.txt,2524,2501,250071,5000,2524,OK
testdual0,binpack17.txt,2528,2502,250195,5000,2528,OK
testdual0,binpack18.txt,2533,2502,250198,5000,2533,OK
testdual0,binpack19.txt,2507,2499,249850,5000,2507,OK
testdual4,binpack0.txt,2123,2123,212297,5000,2123,OK
testdual4,binpack1.txt,2117,2117,211674,5000,2117,OK
testdual4,binpack2.txt,2130,2130,212971,5000,2130,OK
testdual4,binpack3.txt,2124,2124,212368,5000,2124,OK
testdual4,binpack4.txt,2133,2133,213203,5000,2133,OK
testdual4,binpack5.txt,2116,2116,211503,5000,2116,OK
testdual4,binpack6.txt,2126,2126,212550,5000,2126,OK
testdual4,binpack7.txt,2131,2131,213082,5000,2131,OK
testdual4,binpack8.txt,2117,2117,211609,5000,2117,OK
testdual4,binpack9.txt,2139,2139,213816,5000,2139,OK
testdual4,binpack10.txt,2122,2122,212128,5000,2122,OK
testdual4,binpack11.txt,2113,2113,211298,5000,2113,OK
testdual4,binpack12.txt,2122,2122,212164,5000,2122,OK
testdual4,binpack13.txt,2127,2127,212625,5000,2127,OK
testdual4,binpack14.txt,2121,2121,212056,5000,2121,OK
testdual4,binpack15.txt,2123,2123,212283,5000,2123,OK
testdual4,binpack16.txt,2126,2126,212547,5000,2126,OK
testdual4,binpack17.txt,2127,2127,212647,5000,2127,OK
testdual4,binpack18.txt,2126,2126,212504,5000,2126,OK
testdual4,binpack19.txt,2121,2121,212023,5000,2121,OK
testdual8,binpack0.txt,2116,2116,211549,5000,2116,OK
testdual8,binpack1.txt,2115,2115,211451,5000,2115,OK
testdual8,binpack2.txt,2127,2127,212646,5000,2127,OK
testdual8,binpack3.txt,2126,2126,212561,5000,2126,OK
testdual8,binpack4.txt,2129,2129,212844,5000,2129,OK
testdual8,binpack5.txt,2128,2128,212767,5000,2128,OK
testdual8,binpack6.txt,2126,2126,212590,5000,2126,OK
testdual8,binpack7.txt,2126,2126,212525,5000,2126,OK
testdual8,binpack8.txt,2128,2128,212766,5000,2128,OK
testdual8,binpack9.txt,2114,2114,211351,5000,2114,OK
testdual8,binpack10.txt,2124,2124,212381,5000,2124,OK
testdual8,binpack11.txt,2131,2131,213028,5000,2131,OK
testdual8,binpack12.txt,2127,2127,212690,5000,2127,OK
testdual8,binpack13.txt,2123,2123,212211,5000,2123,OK
testdual8,binpack14.txt,2140,2139,213896,5000,2140,OK
testdual8,binpack15.txt,2118,2118,211750,5000,2118,OK
testdual8,binpack16.txt,2110,2109,210895,5000,2110,OK
testdual8,binpack17.txt,2141,2141,214043,5000,2141,OK
testdual8,binpack18.txt,2129,2129,212887,5000,2129,OK
testdual8,binpack19.txt,2134,2133,213300,5000,2134,OK
